"EVA_NR";"DS100";"IFOPT";"db_name";"traffic";"operator_name";"operator_nr";"status";"distance";"formatted";"lat";"lon";"housenumber";"name";"street";"postcode";"district";"suburb";"county";"state";"state_code";"city";"country";"country_code";"attribution";"attribution_license";"attribution_url"
8003105;"HJAH";"de:03461:3106";"Jaderberg";"nur DPN";"DB Station und Service AG";;"neu";14.167920936920243;"Raiffeisenmarkt Jaderberg, Raiffeisenstraße 13, 26349 Jaderberg, Germany";53.339013300000005;8.18320224293704;"13";"Raiffeisenmarkt Jaderberg";"Raiffeisenstraße";26349;"Varel";;"Landkreis Wesermarsch";"Lower Saxony";;"Jaderberg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8003297;"EKIE";"de:05962:2677:90";"Kierspe";"RV";"DB Station und Service AG";;"neu";56.40394462769992;"Hammerkamp 19a, 58566 Kierspe, Germany";51.130193;7.615473;"19a";;"Hammerkamp";58566;"Kierspe";;"Märkischer Kreis";"North Rhine-Westphalia";;"Kierspe";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8003305;"EREKK";"de:05554:37195";"Reken-Klein Reken";"nur DPN";"DB Station und Service AG";;"neu";6.944488165421939;"Deutsche Bahn, Buttstegge, 48734 Klein Reken, Germany";51.787074;7.0352799;;"Deutsche Bahn";"Buttstegge";48734;;;"Kreis Borken";"North Rhine-Westphalia";;"Klein Reken";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8005169;"MRAI";"de:09163:201";"Rosenheim Aicherpark";"nur DPN";"DB Station und Service AG";;"neu";30.37885232671974;"West-Center Rosenheim, Oberaustraße 16, 83026 Rosenheim, Germany";47.85124145;12.08973910523509;"16";"West-Center Rosenheim";"Oberaustraße";83026;"Rosenheim";"Oberwöhr";"Rosenheim";"Bavaria";;"Rosenheim";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8005933;"RSFW";"de:08215:1864";"Stettfeld-Weiher";"RV";"DB Station und Service AG";;"neu";226.09729372578158;"Lußhardtstraße 47, 76698 Ubstadt-Weiher, Germany";49.18311;8.639937;"47";;"Lußhardtstraße";76698;"Ubstadt-Weiher";;"Karlsruhe";"Baden-Württemberg";"BW";"Ubstadt-Weiher";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8011201;"BFBI";"de:12061:900260009";"Flughafen BER - Terminal 1-2";"FV";"DB Station und Service AG";;"neu";12.883590519414204;"Willy-Brandt-Platz 1, 12529 Schönefeld, Germany";52.36466905;13.511652941472128;"1";;"Willy-Brandt-Platz";12529;"Schönefeld";"Schönefeld";"Dahme-Spreewald - Damna-B?ota";"Brandenburg";"BB";"Schönefeld";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8011404;"UDO";"de:16065:8011404";"Donndorf(Unstrut)";"nur DPN";"Deutsche Regionaleisenbahn GmbH";;"neu";4.642097977135485;"Kelterei im Bahnhof, Bahnhofstraße 46, 06571 Kloster Donndorf, Germany";51.2981767;11.376964464949932;"46";"Kelterei im Bahnhof";"Bahnhofstraße";6571;"Wiehe";;"Kyffhäuserkreis";"Thuringia";;"Kloster Donndorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8011605;"LBGR";"de:15089:8011605";"Bernburg-Roschwitz";"nur DPN";"DB Station und Service AG";;"neu";0;"Bahnsteig 2, Am Stadtrand, 06406 Bernburg, Germany";51.781825600000005;11.759074760688128;;"Bahnsteig 2";"Am Stadtrand";6406;"Bernburg";"Roschwitz";"Salzlandkreis";"Saxony-Anhalt";;"Bernburg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8012273;"LLMS";"de:14713:8012273";"Leipzig Mockauer Straße";"RV";"DB Station und Service AG";;"neu";4.511459357051156;"Leipzig Mockauer Straße, Beuthstraße, 04357 Leipzig, Germany";51.3737902;12.41299988677083;;"Leipzig Mockauer Straße";"Beuthstraße";4357;"Nordost";"Mockau-Süd";;"Saxony";;"Leipzig";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8012797;"URO";"de:16065:8012797";"Roßleben";"nur DPN";"Deutsche Regionaleisenbahn GmbH";;"neu";12.207277387472844;"Am Bahnhof 1, 06571 Roßleben-Wiehe, Germany";51.2976738;11.436405405709458;"1";;"Am Bahnhof";6571;"Roßleben";"Roßleben";"Kyffhäuserkreis";"Thuringia";;"Roßleben-Wiehe";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8013241;"BWAF";"de:12061:900260080";"Waßmannsdorf";"RV";"DB Station und Service AG";;"neu";2.417311726820377;"Albert-Kiekebusch-Straße, 12529 Waßmannsdorf, Germany";52.3684398;13.4635452;;"Waßmannsdorf";"Albert-Kiekebusch-Straße";12529;"Schönefeld";"Schönefeld";"Dahme-Spreewald - Damna-B?ota";"Brandenburg";"BB";"Waßmannsdorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8013301;"DWID";"de:14625:6905";"Wiednitz";"nur DPN";;;"neu";7.3253552991596775;"Wiednitz, Bahnhofstraße, 02994 Bernsdorf, Germany";51.3931015;14.0392297;;"Wiednitz";"Bahnhofstraße";2994;"Bernsdorf";"Wiednitz";"Bautzen";"Saxony";;"Bernsdorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8071096;"WSTS";"de:12068:900205749";"Rheinsberg Stechlinsee";"nur DPN";"Regio Infra Nord-Ost GmbH & Co. KG";;"neu";13.645075395753432;"Stechlinsee, Stechliner Weg, 16831 Rheinsberg, Germany";53.1491243;12.9855449;;"Stechlinsee";"Stechliner Weg";16831;"Rheinsberg";;"Ostprignitz-Ruppin";"Brandenburg";"BB";"Rheinsberg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8089201;"BFBB";"de:12061:900260009:3";"Flughafen BER - Terminal 1-2 (S-Bahn)";"RV";"DB Station und Service AG";;"neu";14.631291560138443;"Willy-Brandt-Platz 1, 12529 Schönefeld, Germany";52.36466905;13.511652941472128;"1";;"Willy-Brandt-Platz";12529;"Schönefeld";"Schönefeld";"Dahme-Spreewald - Damna-B?ota";"Brandenburg";"BB";"Schönefeld";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000001;"KA";"de:05334:1008";"Aachen Hbf";"FV";"DB Station und Service AG";1;;17.936306305544626;"Aachen Central Train Station, Bahnhofstraße 2a, 52064 Aachen, Germany";50.767733;6.091267;"2a";"Aachen Central Train Station";"Bahnhofstraße";52064;"Aachen";;"Aachen";"North Rhine-Westphalia";;"Aachen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000002;"TA";"de:08136:1000";"Aalen Hbf";"FV";"DB Station und Service AG";4;;16.40723529435486;"Press & Books, Bahnhof 1, 73430 Aalen, Germany";48.840965;10.096059;"1";"Press & Books";"Bahnhof";73430;"Aalen";;"Ostalbkreis";"Baden-Württemberg";"BW";"Aalen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000004;"HA";"de:05774:7131";"Altenbeken";"FV";"DB Station und Service AG";85;;12.15375710734065;"DB Agentur Altenbeken, Bahnhofstraße 13, 33184 Altenbeken, Germany";51.766455;8.943146;"13";"DB Agentur Altenbeken";"Bahnhofstraße";33184;"Altenbeken";;"Paderborn";"North Rhine-Westphalia";;"Altenbeken";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000007;"FALZ";"de:07331:55";"Alzey";"RV";"DB Station und Service AG";133;;0;"Bahnhofstraße, 55232 Alzey, Germany";49.7507838;8.110407067292517;;"Alzey";"Bahnhofstraße";55232;;;"Landkreis Alzey-Worms";"Rhineland-Palatinate";;"Alzey";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000009;"NAN";"de:09561:11000";"Ansbach";"FV";"DB Station und Service AG";161;;38.00280805009015;"Bahnhofsplatz 2, 91522 Ansbach, Germany";49.297943;10.577733;"2";"Ansbach";"Bahnhofsplatz";91522;"Ansbach";;"Ansbach";"Bavaria";;"Ansbach";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000010;"NAH";"de:09661:99082";"Aschaffenburg Hbf";"FV";"DB Station und Service AG";187;;56.468347677556466;"Coffee Fellows, Ludwigstraße 2, 63739 Aschaffenburg, Germany";49.980107;9.144063;"2";"Coffee Fellows";"Ludwigstraße";63739;"Aschaffenburg";;"Aschaffenburg";"Bavaria";;"Aschaffenburg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000011;"AAG";"de:01057:3365";"Ascheberg(Holst)";"RV";"DB Station und Service AG";191;;0.23172983441810585;"Ascheberg (Holst), Ascheberg, SH, Germany";54.14846;10.33948;;"Ascheberg (Holst)";;;"Ascheberg (Holstein)";;"Plön";"Schleswig-Holstein";"SH";"Ascheberg";"Germany";"de";;"CC BY 4.0";"https://www.geonames.org/datasources/"
8000012;"KAU";"de:05382:59901";"Au(Sieg)";"RV";"DB Station und Service AG";204;;17.126352232242542;"Bahnhofstraße 24, 51570 Windeck, Germany";50.773611;7.656541;"24";;"Bahnhofstraße";51570;"Windeck";;"Rhein-Sieg-Kreis";"North Rhine-Westphalia";;"Windeck";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000013;"MA";"de:09761:100";"Augsburg Hbf";"FV";"DB Station und Service AG";220;;10.52816138894986;"Augsburg Hauptbahnhof, Viktoriastraße 1, 86150 Augsburg, Germany";48.3654907;10.8856913;"1";"Augsburg Hauptbahnhof";"Viktoriastraße";86150;"Bahnhofsviertel";"Innenstadt";"Augsburg";"Bavaria";;"Augsburg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000014;"TAU";"de:08436:1000";"Aulendorf";"FV";"DB Station und Service AG";226;;20.854748164459018;"Bahnhof 1, 88326 Aulendorf, Germany";47.953055;9.643766;"1";;"Bahnhof";88326;"Aulendorf";;"Ravensburg";"Baden-Württemberg";"BW";"Aulendorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000015;"FBA";"de:06432:8563";"Babenhausen(Hess)";"nur DPN";"DB Station und Service AG";238;;5.861103480746945;"Bahnhof Babenhausen (Hessen), Am Bahnhof 1, 64832 Babenhausen, Germany";49.9579751;8.956934041925631;"1";"Bahnhof Babenhausen (Hessen)";"Am Bahnhof";64832;"Babenhausen";;"Landkreis Darmstadt-Dieburg";"Hesse";;"Babenhausen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000016;"TB";"de:08119:7600";"Backnang";"RV";"DB Station und Service AG";244;;5.672087788748761;"Deutsche Bahn, Obere Bahnhofstraße, 71522 Backnang, Germany";48.9427094;9.4259303;;"Deutsche Bahn";"Obere Bahnhofstraße";71522;;;"Rems-Murr-Kreis";"Baden-Württemberg";"BW";"Backnang";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000017;"TBF";"de:08125:519";"Bad Friedrichshall Hbf";"RV";"DB Station und Service AG";277;;1.9256192202783782;"Bad Friedrichshall Hauptbahnhof, Bahnhof Jagstfeld, 74177 Bad Friedrichshall, Germany";49.23137695;9.200041490507292;;"Bad Friedrichshall Hauptbahnhof";"Bahnhof Jagstfeld";74177;;"Jagstfeld";"Landkreis Heilbronn";"Baden-Württemberg";"BW";"Bad Friedrichshall";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000019;"HBHA";"de:03153:4946";"Bad Harzburg";"RV";"DB Station und Service AG";281;;0.5226754858520098;"Bad Harzburg, Lower Saxony, Germany";51.88812;10.55544;;;;;"Bad Harzburg";;"Goslar";"Lower Saxony";;"Bad Harzburg";"Germany";"de";;"CC BY 4.0";"https://www.geonames.org/datasources/"
8000020;"FBHF";"de:06632:202026";"Bad Hersfeld";"FV";"DB Station und Service AG";282;;7.934849223409831;"Bahnhofsplatz, 36251 Bad Hersfeld, Germany";50.8696142;9.7162915;;"Bad Hersfeld";"Bahnhofsplatz";36251;"Bad Hersfeld";;"Landkreis Hersfeld-Rotenburg";"Hesse";;"Bad Hersfeld";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000021;"SBKN";"de:07133:8178";"Bad Kreuznach";"RV";"DB Station und Service AG";296;;0;"Dr.-Konrad-Adenauer-Straße, 55543 Bad Kreuznach, Germany";49.8431008;7.867230154158674;;"Bad Kreuznach";"Dr.-Konrad-Adenauer-Straße";55543;;;"Landkreis Bad Kreuznach";"Rhineland-Palatinate";;"Bad Kreuznach";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000022;"HNDF";"de:03257:505";"Bad Nenndorf";"RV";"DB Station und Service AG";311;;1.6437368481620098;"Ladestraße, 31542 Bad Nenndorf, Germany";52.3437471;9.3785891;;"Bad Nenndorf";"Ladestraße";31542;"Nenndorf";;"Landkreis Schaumburg";"Lower Saxony";;"Bad Nenndorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000023;"AO";"de:01062:37979";"Bad Oldesloe";"RV";"DB Station und Service AG";317;;24.115146818198347;"Käthe-Kollwitz-Straße 8, 23843 Bad Oldesloe, Germany";53.805268;10.382238;"8";"Bad Oldesloe";"Käthe-Kollwitz-Straße";23843;"Bad Oldesloe";;"Stormarn";"Schleswig-Holstein";"SH";"Bad Oldesloe";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000025;"NBA";"de:09461:20010";"Bamberg";"FV";"DB Station und Service AG";393;;54.920626937255406;"Ludwigstraße 6, 96052 Bamberg, Germany";49.900498;10.898838;"6";;"Ludwigstraße";96052;"Bamberg";;"Bamberg";"Bavaria";;"Bamberg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000026;"RB";"ch:23005:6";"Basel Bad Bf";"FV";"Schweizerischen Bundesbahnen";;;0;"Basel Badischer Bahnhof, Im Surinam, 5068 Basel, Switzerland";47.56749005;7.607620622184031;;"Basel Badischer Bahnhof";"Im Surinam";5068;"Kleinbasel";"Hirzbrunnen";;"Basel-City";;"Basel";"Switzerland";"ch";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000027;"NSCH";"de:09376:7410";"Schwandorf";"RV";"DB Station und Service AG";5710;;6.963169510015801;"Bahnhofplatz, 92421 Schwandorf, Germany";49.3263177;12.1038045;;"Schwandorf";"Bahnhofplatz";92421;"Schwandorf";"Innenstadt";"Landkreis Schwandorf";"Bavaria";;"Schwandorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000028;"NBY";"de:09462:22000";"Bayreuth Hbf";"RV";"DB Station und Service AG";439;;26.75873754580866;"Bayreuth Hbf, Bahnhofstraße 20, 95444 Bayreuth, Germany";49.949831;11.579817;"20";"Bayreuth Hbf";"Bahnhofstraße";95444;"Bayreuth";;"Bayreuth";"Bavaria";;"Bayreuth";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000029;"FB";"de:06632:202110";"Bebra";"FV";"DB Station und Service AG";443;;82.42856677056113;"Kesselhaus, Gilfershäuser Straße 12c, 36179 Bebra, Germany";50.969893;9.798846;"12c";"Kesselhaus";"Gilfershäuser Straße";36179;"Bebra";;"Hersfeld-Rotenburg";"Hesse";;"Bebra";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000030;"KBE";"de:05362:89101";"Bedburg(Erft)";"RV";"DB Station und Service AG";447;;44.5553869129103;"Alter Bahnhof, Bahnstraße 23, 50181 Bedburg, Germany";50.987566;6.573236;"23";"Alter Bahnhof";"Bahnstraße";50181;"Bedburg";;"Rhein-Erft-Kreis";"North Rhine-Westphalia";;"Bedburg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000031;"FBH";"de:06431:236";"Bensheim";"FV";"DB Station und Service AG";488;;1.4453324397212053;"Amershamplatz, 64625 Bensheim, Germany";49.6813231;8.6167349;;"Bensheim";"Amershamplatz";64625;"Bensheim";;"Kreis Bergstraße";"Hesse";;"Bensheim";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000032;"NS";"de:09662:28058";"Schweinfurt Hbf";"RV";"DB Station und Service AG";5742;;53.93451087606661;"Hauptbahnhofstraße 9, 97424 Schweinfurt, Germany";50.035755;10.212608;"9";;"Hauptbahnhofstraße";97424;"Schweinfurt";;"Schweinfurt";"Bavaria";;"Schweinfurt";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000033;"KSWE";"de:05954:8174";"Schwelm";"RV";"DB Station und Service AG";5749;;1.2419900046789951;"Hattinger Straße, 58332 Schwelm, Germany";51.2904133;7.289087641548299;;"Schwelm";"Hattinger Straße";58332;;"Loh";"Ennepe-Ruhr-Kreis";"North Rhine-Westphalia";;"Schwelm";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000034;"EBZ";"de:07132:090171";"Betzdorf(Sieg)";"RV";"DB Station und Service AG";597;;0;"Betzdorf (Sieg), Bahnhofstraße, 57518 Betzdorf, Germany";50.78931155;7.870078756546052;;"Betzdorf (Sieg)";"Bahnhofstraße";57518;;"Struthof";"Landkreis Altenkirchen (Westerwald)";"Rhineland-Palatinate";;"Betzdorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000036;"EBILP";"de:05711:5500";"Bielefeld Hbf";"FV";"DB Station und Service AG";622;;3.496393358100982;"Bielefeld Hbf, Am Bahnhof, 33602 Bielefeld, Germany";52.029301649999994;8.532677950438373;;"Bielefeld Hbf";"Am Bahnhof";33602;"Bahnhofsviertel";"Mitte";;"North Rhine-Westphalia";;"Bielefeld";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000037;"ESRT";"de:05978:63583";"Schwerte(Ruhr)";"RV";"DB Station und Service AG";5763;;0;"Schwerte (Ruhr), Holzener Weg, 58239 Schwerte, Germany";51.44237215;7.559125165753204;;"Schwerte (Ruhr)";"Holzener Weg";58239;;"Holzen-Rosen";"Kreis Unna";"North Rhine-Westphalia";;"Schwerte";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000038;"TBM";"de:08118:1400";"Bietigheim-Bissingen";"RV";"DB Station und Service AG";636;;53.70841064981269;"Parkhaus beim Bahnhof, Stuttgarter Straße 110, 74321 Bietigheim-Bissingen, Germany";48.94765;9.138153;"110";"Parkhaus beim Bahnhof";"Stuttgarter Straße";74321;"Bietigheim-Bissingen";;"Ludwigsburg";"Baden-Württemberg";"BW";"Bietigheim-Bissingen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000039;"FBGK";"de:07339:8183";"Bingen(Rhein) Hbf";"FV";"DB Station und Service AG";649;;6.607900625718622;"Bingen (Rhein) Hauptbahnhof, Koblenzer Straße, 55411 Bingen am Rhein, Germany";49.9691694;7.882937957464354;;"Bingen (Rhein) Hauptbahnhof";"Koblenzer Straße";55411;;"Bingerbrück";"Landkreis Mainz-Bingen";"Rhineland-Palatinate";;"Bingen am Rhein";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000041;"EBO";"de:05911:5194";"Bochum Hbf";"FV";"DB Station und Service AG";724;;0;"Bochum Hbf, Hellweg, 44787 Bochum, Germany";51.47822745;7.222340210288172;;"Bochum Hbf";"Hellweg";44787;"Bochum-Mitte";"Innenstadt";;"North Rhine-Westphalia";;"Bochum";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000042;"RSE";"de:08225:8203";"Seckach";"RV";"DB Station und Service AG";5774;;0;"Bahnhofstraße 12, 74743 Seckach, Germany";49.4410941;9.33842948526449;"12";"Seckach";"Bahnhofstraße";74743;;;"Neckar-Odenwald-Kreis";"Baden-Württemberg";"BW";"Seckach";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000043;"HSSN";"de:03153:5780";"Seesen";"RV";"DB Station und Service AG";5797;;69.29584878047467;"Bahnhofsplatz 6, 38723 Seesen, Germany";51.88751;10.172971;"6";;"Bahnhofsplatz";38723;"Seesen";;"Goslar";"Lower Saxony";;"Seesen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000044;"KB";"de:05314:61101";"Bonn Hbf";"FV";"DB Station und Service AG";767;;3.9509387724242333;"Bonn Hauptbahnhof, Herwarthstraße, 53115 Bonn, Germany";50.7323374;7.095868864132074;;"Bonn Hauptbahnhof";"Herwarthstraße";53115;"Stadtbezirk Bonn";"Weststadt";;"North Rhine-Westphalia";;"Bonn";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000045;"KBOP";"de:07140:060039";"Boppard Hbf";"FV";"DB Station und Service AG";776;;0.18002130011022324;"Boppard Hbf, Säuerlingstraße, 56154 Boppard, Germany";50.23160395;7.584841856809488;;"Boppard Hbf";"Säuerlingstraße";56154;;;"Rhein-Hunsrück-Kreis";"Rhineland-Palatinate";;"Boppard";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000046;"ESIE";"de:05970:10097";"Siegen Hbf";"RV";"DB Station und Service AG";5842;;1.7916281266400809;"Siegen Hauptbahnhof, Morleystraße, 57072 Siegen, Germany";50.8755628;8.015787299632311;;"Siegen Hauptbahnhof";"Morleystraße";57072;;"Siegen";"Kreis Siegen-Wittgenstein";"North Rhine-Westphalia";;"Siegen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8000047;"EBTH,EBTHP";"de:05512:3335";"Bottrop Hbf";"RV";"DB Station und Service AG";804;;3.621474590002825;"Bottrop Hbf, Am Hauptbahnhof, 46242 Bottrop, Germany";51.50986325;6.937237106061874;;"Bottrop Hbf";"Am Hauptbahnhof";46242;"Lehmkuhle";;;"North Rhine-Westphalia";;"Bottrop";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
